INFO:2016-11-01 17:12:17,632:root:responsetopic....
DEBUG:2016-11-01 17:12:17,632:root:sofa .... 
INFO:2016-11-01 17:12:17,633:root:gettopicsqueue....
INFO:2016-11-01 17:12:17,633:root:setresponsetext....
INFO:2016-11-01 17:12:17,633:root:checkreplycondition....
INFO:2016-11-01 17:12:21,605:root:responsetopic....
DEBUG:2016-11-01 17:12:22,879:root:sofa .... 
INFO:2016-11-01 17:12:22,880:root:gettopicsqueue....
INFO:2016-11-01 17:12:22,882:root:setresponsetext....
INFO:2016-11-01 17:12:22,886:root:checkreplycondition....
INFO:2016-11-01 17:12:27,163:root:responsetopic....
DEBUG:2016-11-01 17:12:27,164:root:sofa .... 
INFO:2016-11-01 17:12:27,164:root:gettopicsqueue....
INFO:2016-11-01 17:12:27,164:root:setresponsetext....
INFO:2016-11-01 17:12:27,165:root:checkreplycondition....
INFO:2016-11-01 17:12:30,359:root:responsetopic....
DEBUG:2016-11-01 17:12:30,360:root:sofa .... 
INFO:2016-11-01 17:12:30,360:root:gettopicsqueue....
INFO:2016-11-01 17:12:30,361:root:setresponsetext....
INFO:2016-11-01 17:12:30,361:root:checkreplycondition....
INFO:2016-11-01 17:12:35,835:root:responsetopic....
DEBUG:2016-11-01 17:12:36,412:root:sofa .... 
INFO:2016-11-01 17:12:36,414:root:gettopicsqueue....
INFO:2016-11-01 17:12:36,415:root:setresponsetext....
INFO:2016-11-01 17:12:36,417:root:checkreplycondition....
INFO:2016-11-01 17:12:38,641:root:responsetopic....
DEBUG:2016-11-01 17:12:38,641:root:sofa .... 
INFO:2016-11-01 17:12:38,642:root:gettopicsqueue....
INFO:2016-11-01 17:12:38,642:root:setresponsetext....
INFO:2016-11-01 17:12:38,642:root:checkreplycondition....
INFO:2016-11-01 17:12:44,374:root:responsetopic....
DEBUG:2016-11-01 17:12:45,616:root:sofa .... 
INFO:2016-11-01 17:12:45,616:root:gettopicsqueue....
INFO:2016-11-01 17:12:45,617:root:setresponsetext....
INFO:2016-11-01 17:12:45,617:root:checkreplycondition....
INFO:2016-11-01 17:12:49,100:root:responsetopic....
DEBUG:2016-11-01 17:12:50,100:root:sofa .... 
INFO:2016-11-01 17:12:50,102:root:gettopicsqueue....
INFO:2016-11-01 17:12:50,103:root:setresponsetext....
INFO:2016-11-01 17:12:50,104:root:checkreplycondition....
INFO:2016-11-01 17:12:52,897:root:responsetopic....
DEBUG:2016-11-01 17:12:52,897:root:sofa .... 
INFO:2016-11-01 17:12:52,899:root:gettopicsqueue....
INFO:2016-11-01 17:12:52,902:root:setresponsetext....
INFO:2016-11-01 17:12:52,903:root:checkreplycondition....
INFO:2016-11-01 17:12:56,778:root:responsetopic....
DEBUG:2016-11-01 17:12:57,330:root:sofa .... 
INFO:2016-11-01 17:12:57,331:root:gettopicsqueue....
INFO:2016-11-01 17:12:57,332:root:setresponsetext....
INFO:2016-11-01 17:12:57,332:root:checkreplycondition....
INFO:2016-11-01 17:12:57,955:root:responsetopic....
DEBUG:2016-11-01 17:12:57,955:root:sofa .... 
INFO:2016-11-01 17:12:57,956:root:gettopicsqueue....
INFO:2016-11-01 17:12:57,956:root:setresponsetext....
INFO:2016-11-01 17:12:57,957:root:checkreplycondition....
INFO:2016-11-01 17:13:04,490:root:responsetopic....
DEBUG:2016-11-01 17:13:05,711:root:sofa .... 
INFO:2016-11-01 17:13:05,712:root:gettopicsqueue....
INFO:2016-11-01 17:13:05,713:root:setresponsetext....
INFO:2016-11-01 17:13:05,713:root:checkreplycondition....
INFO:2016-11-01 17:13:06,153:root:responsetopic....
DEBUG:2016-11-01 17:13:07,154:root:sofa .... 
INFO:2016-11-01 17:13:07,156:root:gettopicsqueue....
INFO:2016-11-01 17:13:07,157:root:setresponsetext....
INFO:2016-11-01 17:13:07,158:root:checkreplycondition....
INFO:2016-11-01 17:13:08,556:root:responsetopic....
DEBUG:2016-11-01 17:13:08,556:root:sofa .... 
INFO:2016-11-01 17:13:08,557:root:gettopicsqueue....
INFO:2016-11-01 17:13:08,557:root:setresponsetext....
INFO:2016-11-01 17:13:08,558:root:checkreplycondition....
INFO:2016-11-01 17:13:10,777:root:responsetopic....
DEBUG:2016-11-01 17:13:11,341:root:sofa .... 
